mode	viral_id	virus_label	K	n_studies	fisher_stat	p_meta_fisher	z_meta_stouffer	p_meta_stouffer	mean_odds_ratio	fdr_bh_meta_fisher
raw	Q32ZE1	Zika	50	6	2.9763501626611193	0.9957086956486426	-13.39397178230736	1.0	0.6037814129919392	1.0
raw	Q32ZE1	Zika	100	6	2.7173367115785982	0.9972319061641584	-13.515276131349081	1.0	0.5261664739605916	1.0
raw	Q6Q1S2	HCoV-NL63	10	4	-0.0	1.0	-16.419072303202775	1.0	0.0	1.0
raw	Q6Q1S2	HCoV-NL63	20	4	-0.0	1.0	-16.419072303202775	1.0	0.0	1.0
raw	Q6Q1S2	HCoV-NL63	50	4	1.6510429144814143	0.9899069386997555	-12.23629156695537	1.0	0.9123774509803921	1.0
raw	Q6Q1S2	HCoV-NL63	100	4	0.8115366364572753	0.9991817261068132	-12.529389981859142	1.0	0.31153846153846154	1.0
raw	Q8JUX5	Chikungunya virus	10	1	-0.0	1.0	-8.209536151601387	0.9999999999999999		1.0
raw	Q8JUX5	Chikungunya virus	20	1	-0.0	1.0	-8.209536151601387	0.9999999999999999		1.0
raw	Q8JUX5	Chikungunya virus	50	1	-0.0	1.0	-8.209536151601387	0.9999999999999999		1.0
raw	Q8JUX5	Chikungunya virus	100	1	-0.0	1.0	-8.209536151601387	0.9999999999999999		1.0
